neckneck_ratio,forward_lean_z,shoulder_tilt,head_tilt,hand_to_face,pose_x,pose_y,wrist_elevated,has_phone,label
0.638,0.5213,0.0108,0.0215,1.3308,-44.9158,-1.867,1,0,Focused
0.6758,0.1914,0.0684,0.0201,1.8636,0.0,0.0,0,0,Looking Away
0.0169,1.2476,0.0056,0.0366,0.2676,0.0,0.0,1,0,Slouching
0.4999,0.8115,0.1166,0.1633,0.3349,-46.0779,-9.5701,1,0,Leaning on Desk
0.5185,0.9201,0.0186,0.0404,0.4405,-45.3027,-2.5161,1,0,Leaning on Desk
0.7066,0.3153,0.0818,0.0409,1.6723,-41.2123,39.2797,0,0,Looking Away
0.4804,0.75,0.1319,0.2064,0.2734,-51.4022,-10.6501,1,0,Leaning on Desk
0.0593,0.3583,0.1917,0.0593,0.2454,0.0,0.0,1,0,Slouching
0.6398,0.7652,0.0096,0.0129,1.4296,-43.4823,1.3664,1,0,Focused
0.6508,0.6404,0.0063,0.0095,1.3614,-43.745,1.5707,1,0,Focused
0.4149,0.7769,0.1213,0.1404,0.316,-42.6259,-10.6198,1,0,Leaning on Desk
0.5612,0.7044,0.0449,0.0524,1.4458,-29.2776,0.8511,0,0,Focused
0.7085,0.2806,0.0932,0.041,1.6476,-39.7146,41.3673,0,0,Looking Away
0.4827,1.3279,0.12,0.0055,1.2408,0.0,0.0,0,0,Slouching
0.4138,0.6408,0.0498,0.0249,999.0,0.0,0.0,0,0,Slouching
0.6113,0.8083,0.0356,0.0291,1.3951,-37.9287,3.082,1,0,Focused
0.1478,1.0036,0.0908,0.0415,999.0,0.0,0.0,0,0,Slouching
0.6933,0.2404,0.0741,0.0334,1.3019,-43.2146,45.7839,0,0,Looking Away
0.6526,0.8079,0.0309,0.0103,0.5574,-56.2508,9.4006,1,0,Leaning on Desk
0.0162,0.4862,0.0162,0.0162,0.3376,0.0,0.0,1,0,Slouching
0.5154,0.7307,0.1553,0.1784,0.5068,-47.3773,-0.3028,1,0,Leaning on Desk
0.5389,0.6229,0.0374,0.0487,1.3396,-27.8871,1.7388,1,0,Focused
0.5682,0.8411,0.0159,0.0286,1.3684,-30.4584,2.5874,1,0,Focused
0.6071,0.5324,0.0596,0.0186,1.3869,-35.7889,0.9524,1,0,Focused
0.6171,0.7169,0.0063,0.0063,1.0841,-36.2824,3.6503,1,0,Focused
0.6288,0.5105,0.0327,0.0036,1.3537,-37.164,2.1778,1,0,Focused
0.5478,0.5821,0.037,0.0555,1.3492,-30.1598,1.4926,1,0,Focused
0.5154,0.7345,0.1553,0.1784,0.4933,-46.7912,-1.306,1,0,Leaning on Desk
0.0489,0.2621,0.0061,0.0245,0.4762,0.0,0.0,1,0,Slouching
0.4968,0.8052,0.1134,0.1634,0.3398,-46.3638,-9.272,1,0,Leaning on Desk
0.0804,1.0454,0.0322,0.0214,999.0,0.0,0.0,0,0,Slouching
0.5983,0.6326,0.0884,0.0204,1.5631,-36.9973,2.0129,0,0,Focused
0.0826,0.9899,0.0031,0.055,999.0,0.0,0.0,0,0,Slouching
0.618,0.771,0.0362,0.0099,0.5044,-48.3983,12.4901,1,0,Leaning on Desk
0.6686,0.3154,0.0363,0.0036,999.0,-44.8393,-36.6322,0,0,Looking Away
0.4701,0.7993,0.1159,0.1953,0.3348,-46.4571,-3.9545,1,0,Leaning on Desk
0.6344,0.5525,0.0072,0.0179,1.3406,-43.3897,-6.4144,1,0,Focused
0.4975,0.7051,0.0606,0.0957,0.3961,-48.598,2.9122,1,0,Leaning on Desk
0.5339,0.7023,0.1485,0.2148,0.6268,-51.6264,2.8946,1,0,Leaning on Desk
0.1591,0.9349,0.1121,0.0026,999.0,0.0,0.0,0,0,Slouching
0.0775,0.6641,0.3542,0.166,999.0,0.0,0.0,0,0,Slouching
0.0395,0.4936,0.0263,0.0132,999.0,0.0,0.0,0,0,Slouching
0.5186,0.6863,0.1543,0.1773,0.4932,-46.1535,-0.295,1,0,Leaning on Desk
0.6493,0.2579,0.0184,0.0037,999.0,-32.6085,-52.5261,0,0,Looking Away
0.6113,0.7123,0.0454,0.0314,0.6105,-28.2408,6.3987,1,0,Focused
0.5714,0.572,0.0035,0.0383,1.3587,-34.388,1.0316,1,0,Focused
0.6356,0.5965,0.0186,0.0,1.4726,-44.5858,1.8042,0,0,Focused
0.6331,0.5803,0.0296,0.0074,1.4675,-38.8194,0.5967,0,0,Focused
0.5214,0.6838,0.0503,0.0785,0.426,-56.7535,3.6957,1,0,Leaning on Desk
0.2492,0.934,0.0218,0.0561,0.6808,0.0,0.0,1,0,Slouching
0.018,0.3455,0.1975,0.0431,999.0,0.0,0.0,0,0,Slouching
0.2012,1.2627,0.0058,0.0204,999.0,0.0,0.0,0,0,Slouching
0.4628,0.7563,0.1419,0.2331,0.2959,-50.7418,-8.2411,1,0,Leaning on Desk
0.0374,0.5944,0.0476,0.0068,999.0,0.0,0.0,0,0,Slouching
0.638,0.517,0.0108,0.0251,1.3278,-44.5211,-3.9541,1,0,Focused
0.4284,0.802,0.1149,0.1055,0.3666,-40.7599,-7.3863,1,0,Leaning on Desk
0.5268,0.9332,0.0551,0.0061,0.5609,-42.3521,-5.4413,1,0,Leaning on Desk
0.6695,0.3331,0.0461,0.0106,999.0,-46.1322,-32.3974,0,0,Looking Away
0.4802,0.7418,0.1353,0.2063,0.2762,-52.5558,-11.2165,1,0,Leaning on Desk
0.5597,0.7189,0.0567,0.0529,1.4124,-28.2063,0.7244,1,0,Focused
0.6224,0.5236,0.0329,0.0037,1.3828,-41.7876,0.4006,1,0,Focused
0.6487,0.5189,0.0108,0.0179,1.3392,-45.4281,1.8274,1,0,Focused
0.2887,1.4534,0.0735,0.042,999.0,0.0,0.0,0,0,Slouching
0.5466,0.7856,0.0129,0.045,1.3964,-31.7758,3.4718,1,0,Focused
0.4548,0.799,0.1561,0.2444,0.2817,-47.8626,-8.9743,1,0,Leaning on Desk
0.6091,0.7992,0.0451,0.029,1.3918,-38.6594,2.9421,1,0,Focused
0.4906,0.7876,0.1042,0.1714,0.318,-40.3856,-8.2026,1,0,Leaning on Desk
0.651,0.5229,0.0144,0.018,1.3604,-45.3457,1.3718,1,0,Focused
0.6698,0.3137,0.0398,0.0036,999.0,-45.1448,-36.9067,0,0,Looking Away
0.638,0.5188,0.0108,0.0215,1.3304,-44.4452,-3.0599,1,0,Focused
0.5981,0.588,0.1236,0.0768,0.4477,-43.3166,-22.8236,1,0,Leaning on Desk
0.5391,0.6149,0.1446,0.1644,0.5346,-43.6926,-3.0647,1,0,Leaning on Desk
0.5466,0.7905,0.0133,0.03,1.3445,-26.4198,-0.2901,1,0,Focused
0.4546,0.7757,0.1594,0.2476,0.2748,-47.9973,-8.9316,1,0,Leaning on Desk
0.5943,0.7531,0.0878,0.0203,1.527,-34.6229,1.7195,0,0,Focused
0.5115,0.8678,0.0,0.0316,0.4035,-43.9454,1.2461,1,0,Leaning on Desk
0.5176,0.9569,0.0088,0.0,0.6171,-48.1495,-3.9293,1,0,Leaning on Desk
